책장명,도서분류,책제목,작가,출판사,상세내용
15번 책장,만화,[만화] 아이 엠 어 히어로,하나자와 켄고,대원씨아이,
15번 책장,만화,쓰르라미 울 적에 4 - 메아카시편,,학산문화사(만화/잡지),"만화 『쓰르라미 울적에』 제4권. 사랑하는 호죠 사토시를 잃고 증오와 복수심으로 그 공허한 마음을 메우던 시온. 이제 돌아갈 수 없는 나날, 그리고 돌아오지 않는 사람들…. 서글픈 악행..."
15번 책장,만화,닌자파파. 7,Yasuhito Yamamoto,대원씨아이,『닌자파파』 제7권. 사랑하는 가족들을 지키기 위한 닌자파파의 피나는 액션 스토리. 사랑에 살고 사랑에 죽는다! 사랑의 닌자가 얼어붙은 현실을 처단한다!
15번 책장,만화,[만화] 사이코 메트러,안도 유마,학산문화사,
15번 책장,만화,[만화] 카노콘,니시노 카츠미,서울문화사,
15번 책장,만화,카노콘. 7,니시노 카츠미,서울문화사,"Katsumi Nishiro의 순정만화『카노콘』제7권. 작아져버린 치즈루의 자랑, 거유를 부활시키기 위해, 동분서주하는 코타와 친구들. 과연 그 결과는-?! 또, 헤엄을 못 치는 코타를 위해, 일동..."
15번 책장,만화,남자공략법 13,Sugi Emiko,서울문화사,대여점용 /최저가도전!!!코믹스 . 순정 . 판타지 . 무협 . 일반소설 . 로맨스 .인터넷소설 .DVD.비디오야오이소설/만화등 중고서적 의 모든것
15번 책장,만화,코스프레 형사 6,도우모토 나오,삼양출판사(만화),"번외편 “이츠키 에이지의 비밀”도 수록한 왈가닥 미니스커트 여경의 코스프레 수사, 드디어 대단원 완결!!스포츠 도박 바에서 구해준 에이지에게 “지금 당장 널 갖고 싶어.”라는 말을..."
15번 책장,만화,마녀는 두 번 신음한다 4,키타가와 미유키,학산문화사,키타가와 미유키의 만화 『마녀는 두 번 신음한다』 제4권. 긴자에서 일하는 어설픈 호스티스 네네는 신인 배우 나오와 연인 사이. 하지만 어머니의 유언이 담긴 비디오로 서로가 만남조차...
15번 책장,만화,"부르잖아요, 아자젤 씨. 10",쿠보 야스히사,대원씨아이,"Yasuhisa Kubo의 만화 『부르잖아요, 아자젤 씨』 제10권. 악마의 힘을 빌려 탐정사무소를 운영하고 있는 야쿠타베와 아르바이트를 하고 있는 사쿠미의 '빵 터지는 엽기&에로틱 개그'를 담은..."
15번 책장,만화,방과후 스캔들. 2,Hiro Aikawa,서울문화사,신세대의 대담한 사랑을 그린 인기 로맨스 시리즈!! 최신작 단편 3화 특선 단편 1화!
15번 책장,만화,[만화] 도쿄 앨리스,치야 토리코,학산문화사(만화/잡지),
15번 책장,만화,창천항로29(개정판),KING GONTA,대원씨아이_,"한나라 황실의 권위는 땅에 떨어져 버린 지 오래요, 전국의 제후들은 겉으로만 한왕조에 머리를 숙이고 있을 뿐 속으로는 황제가 되려는 야심을 불태우고 있다. 시대의 간웅으로 불리우는..."
15번 책장,만화,법의 정원 6,SEIKI TABARA,서울문화사,대여점용 /
15번 책장,만화,시마상무 6,Kenshi Hirokane,서울문화사,Executive Managing Director Shima Kosaku
15번 책장,만화,(만화) 군계 19,"코바야시노부야,타나카아키오",다이나믹 프로,
15번 책장,만화,(만화) 크레이지 독 13 - 뫼비우스의 띠 (완결),사루와타리 테츠야,대원씨아이,대여점용 / 원하시면 실사진 올려드립니다문의전화 010-4343-0252 02-6084-0252 입니다책 상태는 깨끗합니다 도서 산간지역 제주도 추가 요금있습니다 택배는 로젠택배를 쓰고 있습니다...
15번 책장,만화,배틀로얄 15,TAKAMI KOUSHUN,대원씨아이,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
15번 책장,만화,사원시마 4,Kenshi Hirokane,서울문화사,대여점이지만 낙장/파장없으며상태 좋으며 싸게 보냅니다.사진참고하세요~[섬지역 이외엔 박스량에 따른 추가배송료는 받지않습니다.4만원 이상 구매시 택배비 무료]
15번 책장,만화,사원 시마 주임편. 4,Kenshi Hirokane,서울문화사,본격 직장인 성공스토리 『사원 시마 : 주임편』제4권. 시마 코사쿠는 대형전기 메이커의 대표이사 사장. 출세엔 불리하다는 것을 뻔히 알면서도 사내의 그 어떤 파벌에도 속하지 않고 성실...
15번 책장,만화,시마부장 13,히로카네 켄시,서울문화사,안녕하세요 ^^ 웅이네 서점 입니다대여점용입니다 (원하시면 실사진 올려드립니다 )많은 책이 구비되어있으니 판매자의 다른 물품도 많이 이용해주세요서울 응봉역에 있습니다 도보 1분거...
15번 책장,만화,시마이사 8,Kenshi Hirokane,서울문화사,대여점이지만 낙장/파장없으며상태 좋으며 싸게 보냅니다.사진참고하세요~[섬지역 이외엔 박스량에 따른 추가배송료는 받지않습니다.4만원 이상 구매시 택배비 무료]
15번 책장,만화,시마 전무 5,히로카네 켄시,서울문화사,"고요전기를 둘러싼 한국의 거대기업 섬상과 하츠시바전산의 TOB 전쟁도 드디어 클라이맥스로!파리, 뉴욕, 인도, 그리고 도쿄. 시마 코사쿠는 글자 그대로일본 전기 업계의 화이트 나이트가..."
16번 책장,만화,야뇌 백동수. 7,이재헌,대원씨아이,"이재헌, 홍기우의 만화 『야뇌 백동수』 제7권. SBS 드라마 의 원작이다. 영조를 도와 서얼의 나라를 만들고 싶어한 조선 최고의 검객 백동수의 이야기를 담고 있다. 조선 시대 중에 가장..."
16번 책장,만화,오 나의 여신님. 33,후지시마 코스케,대원씨아이,『오! 나의 여신님』시리즈 제33권. 본 작품은 어수룩하지만 마음씨 고운 공대생 케이와 그런 케이의 소원을 들어주기 위해 나타난 여신 베르단디를 중심으로 벌어지는 이야기다. 이후 언니...
16번 책장,만화,스카이하이 신장 5,TSUTOMU TAKAHASHI,서울문화사,안녕하세요. 피망001입니다. 대여점용으로 보통 양호한 상태입니다. 이외에도 다양한 책이 있사오니 많은 관심바랍니다. 문의는 010-9457-7655로 해 주세요. 만족할 수 있도록 최선을...
16번 책장,만화,너의 빛깔에 포커스 6,치아키 타로,대원,두근두근 설레이는 청춘 PHOTO 그래피티!!밤은 길어.즐거운 거 할까?길가에 쓰러진 하나조노를 구해준 것은 혼혈 해녀 나기사!배우가 되고 싶다는 그녀의 꿈을 이루기 위해 하나조노가 발...
16번 책장,만화,괴협전 1-6권/서당,문정후,스페이스인터내셔널(주),"▶ 1권 책 윗쪽 모서리부분 뜯긴 흠집 있습니다.▶ 책 위, 밑, 옆면 색바램/때자국 있고 그외 책상태 양호합니다. 대여점용 /"
16번 책장,만화,고스트 바둑왕 23,Yumi Hotta,서울문화사,안녕하세요. 피망001입니다. 대여점용으로 보통이며 양호한 상태입니다. 이외에도 다양한 책이 있사오니 많은 관심바랍니다. 문의는 070-8267-7655로 해 주세요. 만족할 수 있도록 최선을...
16번 책장,만화,기괴한 이야기 하나사카 잇큐. 2,코미야마 켄타,대원씨아이,"새로운 ‘힘’을 손에 넣고 잇큐 일행이 다음으로 구원할 사람은 절세 미녀 ‘카구야 공주’.그곳에서 기다리는 건 궁극의 난제 ‘살신(殺神)’과, 카구야의 애달픈 소원.목숨을 건 기지로..."
16번 책장,만화,School Rumble 스쿨럼블 22,고바야시 진,학산문화사,"『스쿨럼블』시리즈 제22권. 본 작품은 카라스마 오지를 좋아하는 츠카모토 텐마, 그런 텐마를 좋아하는 하리마 켄지라는 인물 구조를 통해 즐겁고 유쾌한 학원 로맨스를 보여준다. 작품의..."
16번 책장,만화,전차남 3 (인터넷발 전차에서 꽃핀 러브스토리),나카노 히토리,서울문화사,대여점용 / 안녕하세요 판타지만화소리입니다 더욱더 깨끗한책으로 찾아뵙겠습니다 이상이 있을경우 무조건 전화주세요제주/산간지방 군부대 무조건 택배올라갑니다 ^^전화요망 판타지/만화...
16번 책장,만화,어나더. 2,,서울문화사,"죽은 엄마의 본가에서 요미야마 키타 중학교에 다니게 된 코이치는 무언가에 겁먹은 듯한 3학년 3반의 분위기에 위화감을 느낀다.그리고 기이한 존재감을 가진 소녀, 미사키 메이를 반 친구..."
16번 책장,만화,얼라이브,TSUTOMU TAKAHASHI,서울문화사,"겉표지약간까짐/-------세일중 ♥♥♥♥♥14차분 만화,판타지,로맨스, 일반소설 3만권 입고!! 동일한 제품에 저렴한 가격의상품 다량보유하고잇습니다. 미니북샵(푸른소책방) 방문해주세요..."
16번 책장,만화,귀신별곡. 9,한현동,대원씨아이,"사람이 억울하게 죽으면 저승에 가지 못하고 구천을 떠도는 귀신이 되어, 한을 풀기 위해 살아있는 사람들의 세상에 간섭한다. 그래서 호러 미스터리 사건들이 벌어지며 공포와 괴담이 난무..."
16번 책장,만화,목마른 세이 2 (사랑의 살인자),Jyunichi Noujyo,서울문화사,
16번 책장,만화,더빅보스 3,KOZO,서울문화사,대여점용 /
16번 책장,만화,이누카미. 5(만화),Mamizu Arisawa,서울문화사,쓰러뜨린 사신의 저주로 불행을 짊어지게 된 케이타와 요코. 무일푼이 되어 아파트에서 쫓겨난 두 사람은 다리 밑에서 밑바닥 텐트생활에 돌입. 그런데 불운은 아직 계속 된다. 케이타의 새...
16번 책장,만화,All You Need Is Kill. 2,오바타 타케시,학산문화사,"《데스 노트》의 작가 오바타 타케시의 신작!! 초년병인 키리야 케이지는 기대 반, 두려움 반으로 기다려온 첫 출전에서 순식간에 목숨을 잃고 만다. 그러나 다음 순간, 눈을 뜨자 모든 것은..."
16번 책장,만화,붉은매2 (26),소주완,서울문화사,다시 시작되는 불멸의 신화!! 운명에 도전장을 던지는 정천! 그의 앞길은 과연!
16번 책장,만화,심부인의 요리사 4,FUKAMI RINKO,대원씨아이,상태양호/대여점용 ==책상태 중급 이상인 책도 모두 중급표시합니다. 최근작일수록 더 깨끗합니다.==
16번 책장,만화,개구리 하사 케로로. 24,요시자키 미네,서울문화사,Mine Yoshizaki의 만화 『개구리 하사 케로로』 제24권. ‘가마성운 제58번 행성 우주침공군 특수 선행공작부대 대장’ 케로로 하사는 지구정복의 사전준비로 잠입한 히나타 가에 되려 포획...
16번 책장,만화,폭두백수 타나카. 10,Noritsuke Masaharu,대원씨아이,『폭두백수 타나카』시리즈 제10권. 본 작품은 세상에 대한 어떠한 두려움도 없이 덜컥 자퇴를 한 타나카가 어엿한 사회인으로서 살아가기 위해 고군분투하는 내용을 담은 만화이다...
16번 책장,만화,폭두고딩 타나카 10,Noritsuke Masaharu,대원씨아이,
16번 책장,만화,[만화] 요츠바랑!,아즈마 키요히코,대원씨아이,
16번 책장,만화,하나다소년사. 4,Makoto Isshiki,삼양출판사,"『하나다소년사』제4권. 동네 제일의 악동 이치로에게는 항상 성불을 못한 귀신들이 몰려든다. 잘 시간도 없이 바쁜 이치로의 몸에 변화가?! 독자를 울고 웃게 만드는 명작 만화, 드디어 완결."
16번 책장,만화,이문수호전. 3: 108개의 별,Yoichi Amano,학산문화사,『이문수호전』제3권 <108개의 별>. 양산박으로 잠입하는 것에 성공한 대종 일행. 그러나 갑자기 왕륜의 인도에 따라 나라의 자객이 공격해 오기 시작했다! 마성의 힘이 깃들여 있는 적의...
16번 책장,만화,로스트 세븐 Lost Seven 4,Kazuki Nakashima,대원,『로스트 세븐』 제4권 ‘완결’편. 거울의 마녀 퀸 로제를 쓰러뜨리기 위해 유랑의 왕녀 스노우 화이트에게 모인 7인의 전사들. 격전 끝에 마녀와 마경을 무찔렀지만 그 대가는 너무도...
16번 책장,만화,어떤 마술의 금서목록 15,,대원씨아이,"카마치 카즈마 만화 『어떤 마술의 금서목록』제15권. 초능력이 일반 과학처럼 인지된 안티 오컬트의 학원도시.모든 초능력을 무효화시키는 오른팔, 이매진 브레이커를 가진 카미조 토우마와..."
16번 책장,만화,스즈미야 하루히의 우울 15,,대원,하루히 단장의 호령 하에 오랜만에 실시된 시내 불가사의 찾기! 그 와중에 ?은 8일 후의 미래로부터 시간을 도약해 날아온 미쿠루(미치루)와 함께 미쿠루(대)가 내린 지령을 수행한다...
16번 책장,만화,크루즈2,Yajima Masao,대원씨아이,승선객에게 감동과 흥분을 선사하며 전국을 돌아다니는 호화 여객선 피닉스호.그 배의 선의(船醫) 야마다 코헤이는 승객의 건강과 안전을 지키기 위해 매일이 분주하다.과거의 사랑을 잊지...
16번 책장,만화,펀드 매니저. 3,Ryoka Shu,대원씨아이,"자본시장에서 정의와 이념을 추구하는 펀드 매니저 사와무라 류노스케. 그런 그를 도발하듯 그 남자가 다시 움직인다! 사메지마 치카라가 이끄는 샤크펀드가, 중견 가전판매점 와이드 전기를..."
16번 책장,만화,풀콘. 6,Kabuta Kitahama,학산문화사,밀어내기 씨름에. 100인 대련도 모자라 여장까지 하고는 치한 퇴치...오토와 류이치는 하드한 수행을 거치며 공수의 수준을 높여 마침내 라이벌 나리타 스구루와 검은띠 승단을 걸고 불꽃...
16번 책장,만화,와이쥬엠 야규인법첩. 11,야마다 후타로,북박스,미녀들의 육탄공세를 떨쳐내고 '눈지옥'에서 살아돌아왔으나 호리가의 여인들을 빼앗기고 만 쥬베에. 그녀들이 처형당할 순간은 시시각각 다가오고 있었다. 한편 아이즈 번주 가토 아키나리...
16번 책장,만화,유레카 1,Hitoshi Iwaaki,서울문화사,색바램 / 대여점용 /
16번 책장,만화,지젤 알랭 1,Sui Kasai,대원,"유럽 한 마을에 위치한 아담하고 예쁜 맨션. 다수의 세입자를 보유한이 건물의 소유주는 놀랍게도 아직 어린 소녀, 지젤 알랭.그녀는 귀족 집안에서 태어나 부족한 것 없이 자랐고고급 교육..."
16번 책장,만화,피셔맨 나가레. 5,타케시타 겐지로,학산문화사,"Takeshita Kenjiro의 만화『피셔맨 나가레』제5권. 방랑소년, 고향으로 돌아가다!! 코치 '금색터주'편!! 방랑 낚시 소년 나가레는 중학교를 졸업하기 위해 고향인 코치로!! 친구들과의 재회..."
16번 책장,만화,사술꾼 우츠호. 3,이누마 유우키,학산문화사,"Iinuma Yuuki의 만화 『사술꾼 우츠호』 제3권. 거짓말로 사람을 구하기 위해 너구리 포치, 뛰어난 의사 야쿠마와 함께 여행하는 아자코 우츠호. 불사의 묘약을 찾아 유형지 나데시코지마에..."
16번 책장,만화,에니그마 3,Kenji Sakaki,서울문화사,"e-test 개시로부터 24시간 경과, 에니그마의 중간발표가 시작된다. 거기서 스미오는 쿠리스를 포함, 8명 전원의 탈출을 에니그마에게 선언한다!! 네 번째 패스워드의 열쇠가 행방불명된..."
16번 책장,만화,외천의 나츠. 2,Hiroto Saki,삼양출판사,"바이크 오타쿠 텐가이 나츠는 성란고등학교, 통칭 ‘난교’에 편입하게 된다.그곳에서 알게 된 이오리, 아리사 그리고 그들의 동료들에 휩쓸려 상상천외 엄청난 경험을 하게 되는데…불량..."
16번 책장,만화,누가 울새를 죽였나,Masa,학산문화사,"""뭔가 잘못됐다는 느낌이 확 들었다. 이곳에 모여야 할 사람은 네명.. 그런데 모였어야 할 나머지 한 명 대신 나타난것은 남자의 시체."" ""나는 무슨 일이 일어나고 있는지 전혀 상상도 할 수..."
16번 책장,만화,리빙스톤 1,카타오카 진세이,대원씨아이(만화/잡지),근미래 감독 서바이벌 액션〈데드맨 원더랜드〉의 작가 Jinsei Kataoka가 그려낸'혼'의 기존개념을 뒤엎은 쇼킹스토리!한 사람의 인생은… 바로 '혼'이 좌우한다!인간읜 운명 중 90%는 '혼...
16번 책장,만화,사사미 양@ 노력하지 않아. 1,,대원씨아이,Akira Nishikawa의 만화 『사사미 양@ 노력하지 않아』 제1권. 사사미 양은 은둔형 외톨이. 오늘도 컴퓨터 앞에서 미동도 않고 너무나 싫어하는 노예체질인 오빠를 감시 중. ‘오빠 감시 툴...
16번 책장,만화,최강전설 쿠로사와 11,FUKUMOTO NOBUYUKI,학산문화사,"FUKUMOTO NOBUYUKI의 만화 『최강전설 쿠로사와』 제11권. 건설회사의 현장 작업반장인 쿠로사와는 44살의 독신남으로, 이렇다할 능력도 자격도 없이 그냥 하루하루를 일하며 살아가는 사람..."
16번 책장,만화,데스 스위퍼 5(완결),키타가와 쇼,대원씨아이,"『데스 스위퍼. 5』. 히로유키는 어느 날 고교시절 선배인 아라이와 재회한다. 삶이 팍팍하게 느껴지는 아라이는 유해 사이트를 보기 시작한다. 한편, 자살이 벌어진 방에서 레이지는 유서를..."
16번 책장,만화,70억개의 침. 4(완결),타다노 노부아키,대원씨아이,『70억개의 침』제4권(완결). 미지의 생명과의 공생. 그것을 계기로 처음으로 알게 된 우정. 가족애. 마음이 통하는 기쁨. 항상 헤드폰을 끼고 주위의 모든 것에서 눈을 피했었다-. 그러던...
16번 책장,만화,세이빙 라이프. 3,Mario Kaneda,대원씨아이,"각종 트러블을 극복하고 마침내 빚을 모두 갚은 하루히코. 새롭게 평범한 생활이 시작된다는 기대에 부풀어 있었지만, 갑자기 집에서 나가라고 강요받는다! 보금자리를 잃을 수 없는..."
16번 책장,만화,닌자 보이 11,Akira Segami,학산문화사,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
16번 책장,만화,브레이커. 10,전극진,대원씨아이,"무협 액션 만화 『The Breaker』 제10권. 현원지공의 폭로로 모든 것을 파괴해버리는 구문룡. 연합무단의 기나긴 악연에 종지부를 찍었으나, 폭주의 대가는 참혹하기만 하다. 제자 시운은..."
16번 책장,만화,야구 합시다 7,Iwasawa Masahiro,학산문화사,"인연이 많은 니치오 상고전의 클라이맥스! 타카츠의 2점차 리드 상태에서 맞이한 9회, 투아웃에 1루, 3루의 커다란 위기를 카이오&텐, 1학년 배터리는 어떻게 극복할 것인가?!"
16번 책장,만화,환타지스타 25,쿠사바 미치테루,삼양(만화),Kusaba Michiteru의 만화 『환타지스타』 제25권. 스포츠의 감동과 재미가 펼쳐진다.
16번 책장,만화,식령. 12,Hajime Segawa,대원씨아이,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
16번 책장,만화,여자친구 만들고파. 10,류병민,학산문화사,"같은 학교에 같은 반인 세 명의 고교생 - 설민, 주요한, 이인용은 언제나 붙어 다니는 단짝친구다.하지만 이 세 명의 공통점은 여지껏 변변한 연애 한번 못해봤다는 사실.그저 셋이..."
16번 책장,만화,몬트리히트. 5,Masaki Wachi,학산문화사,『몬트리히트』제5권. 최강의 인조인간 F01의 습격! 궁지에 몰린 카구야와 달의 일족들…. 게다가 인류의 멸망을 원한느 달의 일족의 사나이까지 등장하는데?! F11는 무사히 달의 일족의...
16번 책장,만화,체인지 가이 31,손은호,대원씨아이,중고서적... 대여점용으로 상태는 보통입니다. 반품이 없도록 미리 문의해주세요. 문의는 070-8267-7655로 해주세요. 만족할 수 있도록 최선을 다하겠습니다.
16번 책장,만화,썸머 워즈 3(완결),,대원씨아이,만화 『썸머워즈』 제3권. 포획작전을 빠져나가 거대 몬스터로 진화한 로브머신은 무시무시한 역습을 감행한다. 소혹성 탐사기 '아라와시'를 조종하여 핵시설에 떨어뜨리는 것이다. 시시각각...
16번 책장,만화,듀라라라. 4,,대원씨아이,평온한 일상에 염증을 느꼈던 류가미네 미카도는 소꿉친구 키다 마사오미의 권유로 15년간 살던 고향을 떠나 번화가에 자리한 사립 라이라 학원으로 입학을 결정하게 된다. 미카도는 운...
16번 책장,만화,디트로이트 메탈시티. 10,와카스기 키미노리,서울문화사,대망의 완간! 요한 클라우저 Ⅱ세의 운명은…?!데스메탈의 순수혈통을 이어받은 갓의 등장과 함께 기존에 활동해왔던 모든 메탈그룹들은 종말을 맞이하게 된다. 늘 꿈꿔왔던 음악을 하기...
16번 책장,만화,E.D.D. (Eliminate Dangerous Doctors) 4,하시모토 에이지,서울문화사,『E.D.D.』 제4권. 파렴치한 행동을 일삼는 의약업계 종사자들을 제거하기 위한 특무 기관 E.D.D(Eliminate Dangerous Doctors)의 이야기다. 실제로 있을법한 의료 사고 현장과 가상 기관인...
16번 책장,만화,옐로우 드래곤이 나타났다. 2,타루마 미츠히사,서울문화사,"『옐로우 드래곤이 나타났다』제2권. 자칭 천재 마법사인 엔지와 최강의 영수 ""황룡""인 키미도리의 기적 같은 동거 생활. 거기에 적룡인 스즈와 드래곤 슬레이어인 루콜라도 가세하여 더더욱..."
16번 책장,만화,에어기어 37,오 그레이트,학산문화사(만화/잡지),"Oh Great의 만화 『에어기어』 제37권. 미래의 지구, 청소년 사이에서 유행하는 모터를 장착한 신형 롤러 블레이드 ‘에어 트렉’을 배경으로 한 작품이다. 에어 트랙을 신고 달리는..."
16번 책장,만화,홀리랜드. 18 (완결),Kouji Mori,학산문화사,"고교생 카미시로 유우는 학교에서도 가정에서도 있을 곳을 찾지 못하고,자기 존재를 확인하지 못하고 있었다. 자기가 있을 곳(홀리랜드)을 찾아밤거리를 헤매던 유우는 어느새 '불량배..."
17번 책장,만화,오메가 트라이브 킹덤. 11 (완결),Tamai Yukio,대원씨아이,축제'는 끝났다.그러나 하루의 생사가 불분명한 가운데인류 멸망의 위기가 전세계를 덮친다.'종(種)'의 패권을 둘러싼 싸움의 행방은?일본 오메가의 운명은?그리고 인류는 어디로 가는가...
17번 책장,만화,(만화) SOS 해상특수구조대 20 (완결),Komori Yoichi,학산문화사(만화),"『SOS 해상특수구조대』시리즈 제20권. 본 작품은 구조대원들의 이야기를 그린 작품으로, 인명을 구조하기 위해 노력하는 모습이 실감나게 그려졌다."
17번 책장,만화,유령왕 7,임달영,학산문화사,11년 전 벌어진 영아촌 대 참사…인류에게 ‘이빌 페노메논’이 인류의 적이자 재앙임을분명히 각인시킨 그 사건의 생존자 은성민.그는‘적임생존자’동지들과 함께 강력한 이빌 스피릿을...
17번 책장,만화,폭두 방랑 타나카 10,노리츠케 마사하루,대원씨아이(만화/잡지),"Noritsuke Masaharu의 만화 『폭두방랑 타나카』 제10권. 돌연 고교 중퇴, 상경 그리고 방랑의 여정. 번뇌 라이프의 마지막 타나카가 본 것은…."
17번 책장,만화,헌터 X 헌터. 32,토가시 요시히로,학산문화사,"Yoshihiro Togashi의 만화 『헌터 X 헌터』 제32권. 헌터협회 회장 선거 후보자가 4명으로 좁혀졌다. 부회장 파리스톤, 미자이스톰과 치도르, 레오리오. 음모와 야망이 소용돌이치는 가운데..."
17번 책장,만화,토라도라 5,,학산문화사(만화/잡지),"우연한 일을 계기로 공동전선을 펼치게 된 류지와 타이가.각각의 절친한 친구 키타무라와 미노리,키타무라의 소꿉친구 아미까지 끼어들어즐거운 학교생활을 보내던 류지들은 여름방학으로..."
17번 책장,만화,메일 걸프렌드. 2,Oshima Towa,학산문화사,"OSHIMA TOWA 만화 『메일 걸프렌드』제2권. 후배들을 위해 몸을 날려 싸우고, 알바에 학교에 진정한 자유 시간을 만낄할 수 없는 카케루의 취미는 하루 30분 메신저하기 이다. 1대 1로 대화..."
17번 책장,만화,차를 마시자. 11,니시모리 히로유키,학산문화사,NISHIMORI HIROYUKI의 만화 『차를 마시자』 제11권. 마침내 부장이 졸업. 그녀를 그리는 마음으로 후나바시는 그녀의 뜻을 따르기로 한다. 과연 그것은 그 나름의 '상냥함'이었을까…. 시동...
17번 책장,만화,20세기 소년. 22,Urasawa Naoki,학산문화사,"『20세기 소년』시리즈 제22권. 본 작품은 탄탄한 스토리 전개로 독자의 흡인력을 좌지우지 하는 작가 우라사와 나오키의 대표작 중 하나로, 추리와 드라마, SF가 절묘하게 결합된 만화이다..."
17번 책장,만화,흑신. 19,임달영,대원씨아이,애니메이션 한일미 동시방영!스토리 작가 임달영과 인기작가인 박성우의 첫 일본 데뷔작. 2004년 12월 일본 스퀘어 에닉스의 격주간 만화잡지 '영강강' 창간호부터 연재되며 크게 인기를...
17번 책장,만화,비탄의 아리아. 4,,서울문화사,"만화 『비탄의 아리아』 제4권. 도쿄 무정 고교, 그곳은 무력을 행사하는 탐정- 통칭 ‘무정’을 육성하는 특수한 학교. 탐정과 소속으로 (평소에는) 평범한 일반인 토오야마 킨지의 이번..."
17번 책장,만화,쓰르라미 울적에 2 - 와타나가시 편,,학산문화사(만화/잡지),"와타나가시 축제날, 금기를 어기고 재미 삼아 히나미자와 마을의 성역인 제구전에무단 침입해 버린 케이이치와 친구들.하지만 그 행위가 훗날 처참한 사건을 불러일으키는 계기가 될 줄은..."
17번 책장,만화,강호패도기 33,최미르,대원씨아이,"『강호패도기』시리즈 제33권. 본 작품은 강호를 무대로 한 무협물로, 검객 이백과 도둑 유신의 만남을 중심으로 새로운 무협물을 선보인다."
17번 책장,만화,아이실드21. 37,이나가키 리이치로,대원씨아이,"『아이실드21』 제37권. 히루마와 아곤이 펼친 환상의 드래곤 플라이!! 세계대회 결승, 일본은 모든 전술을 펼쳐 정점 아메리카에 도저한다! 동료들의 분투에 세나도 불타올라 팬서와 다시..."
17번 책장,만화,무적투혼 커프스 32,Jin Tojo,대원씨아이,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
17번 책장,만화,헬로우 블랙잭 13,Shuho Sato,서울문화사,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
17번 책장,만화,팔운성 19,Natsumi Itsuki,대원씨아이,"상태상급으로 깨끗합니다/### 6차분 3만권 입고 !!!###/북코아내 최저가 판매점 푸른소책방입니다상태대비 최저가 판매중입니다./대여점용입니다/만화,판타지,무협소설 최저가 판매중입니다..."
17번 책장,만화,격류혈. 3,28ROUND,학산문화사,"무념이 행방불명된 아키라임을 의심하지 않는 케이.드디어 무념을 만날 방법을 찾아내지만, 그러려면 W.D.T가 강행해 주최하는 격투 토너먼트에 나가야만 했다….과연 분노로 끓어 넘치는 W..."
17번 책장,만화,더 파이팅. 125,Joji Morikawa,학산문화사,
17번 책장,만화,전설의 캡짱 쇼우 11,TAKESHI NATSUHARA,학산문화사,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
17번 책장,만화,연애괴담 사요코씨. 4,Shummi Kanzaki,대원씨아이,"사요코 씨와 이나바는 엉뚱한 계기로 대학교 탁구 연구회(느동)에 가입한다. 개성적인 선배들과 800구의 혼령, 그리고 승려처럼 보이는 훌륭한 이해자(?)까지, 그들 속에서 사요코 씨의 사랑..."
17번 책장,만화,헬싱. 10,히라노 코우타,조은세상,『헬싱』제 10권 무삭제 완결편! 개성 있는 그림과 뱀파이어와 헌터라는 진부한 소재를 신선하게 구성한 작가의 역량이 돋보이는 작품!! 헬싱에서 나치적인 절도 있고 금욕적인 분위기와...
17번 책장,만화,BECK. 34,Harold Sakuishi,학산문화사,『BECK』제34권. 평범한 소년 타나카 유키오가 기타와 록음악을 만나면서 서서히 로커로 성장해가는 성장만화이다. 음악에 대한 지식이 없어도 즐겁게 읽을 수 있다.
17번 책장,만화,카츠 16,Adachi Mitsuru,대원씨아이,대여점이지만 낙장/파장없으며상태 좋으며 싸게 보냅니다.사진참고하세요~
17번 책장,만화,우국의 라스푸틴. 3,나가사키 타카시,시공사,만화 『우국의 라스푸틴』 제3권. 공포 만화계의 거장 이토 준지가 만화 《20세기 소년》의 프로듀서 나가사키 타카시와 만나 탄생한 정치 만화다. 실화를 바탕으로 일본 외교의 문제점을...
